Country,Day,Month,Year,Sector,Site,Station,Reef.zone,benthic_name,benthic_code,mean_cover,sd,se,level,level1_code,level2_code,X..samples,Organization,Period,Source,benthic_name2
Comoros,NA,NA,2011,NA,NA,mea,Back reef,Coral,HC,24,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Comoros,NA,NA,2009,NA,NA,mea,Back reef,Coral,HC,74,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Comoros,NA,NA,2007,NA,NA,mea,Back reef,Coral,HC,59,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Comoros,NA,NA,2005,NA,NA,mea,Back reef,Coral,HC,53,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Comoros,NA,NA,2005,NA,NA,mea,Fore reef,Coral,HC,51,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Comoros,NA,NA,2004,NA,NA,mea,Back reef,Coral,HC,24,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Comoros,NA,NA,2004,NA,NA,mea,Fore reef,Coral,HC,56,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Comoros,NA,NA,2003,NA,NA,mea,Back reef,Coral,HC,22,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Comoros,NA,NA,2003,NA,NA,mea,Fore reef,Coral,HC,54,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Comoros,NA,NA,2002,NA,NA,mea,Fore reef,Coral,HC,33,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Comoros,NA,NA,2011,NA,NA,memboimboini,Back reef,Coral,HC,29,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Comoros,NA,NA,2009,NA,NA,memboimboini,Back reef,Coral,HC,35,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Comoros,NA,NA,2015,NA,NA,moroni,Fore reef,Coral,HC,70,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Comoros,NA,NA,2007,NA,NA,moroni,Fore reef,Coral,HC,71,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Comoros,NA,NA,2005,NA,NA,moroni,Fore reef,Coral,HC,67,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Comoros,NA,NA,2004,NA,NA,moroni,Fore reef,Coral,HC,54,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Comoros,NA,NA,2003,NA,NA,moroni,Fore reef,Coral,HC,64,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Comoros,NA,NA,2011,NA,NA,sambia,Back reef,Coral,HC,15,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Comoros,NA,NA,2009,NA,NA,sambia,Back reef,Coral,HC,44,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Comoros,NA,NA,2009,NA,NA,sambia,Fore reef,Coral,HC,32,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Comoros,NA,NA,2003,NA,NA,sambia,Back reef,Coral,HC,55,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Comoros,NA,NA,2003,NA,NA,sambia,Fore reef,Coral,HC,43,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Comoros,NA,NA,2002,NA,NA,sambia,Back reef,Coral,HC,54,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Comoros,NA,NA,2002,NA,NA,sambia,Fore reef,Coral,HC,42,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Comoros,NA,NA,2015,NA,NA,wani,Fore reef,Coral,HC,61,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Comoros,NA,NA,2011,NA,NA,wani,Back reef,Coral,HC,34,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Comoros,NA,NA,2009,NA,NA,wani,Back reef,Coral,HC,47,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Comoros,NA,NA,2007,NA,NA,wani,Fore reef,Coral,HC,78,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Comoros,NA,NA,2004,NA,NA,wani,Back reef,Coral,HC,38,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Comoros,NA,NA,2003,NA,NA,wani,Fore reef,Coral,HC,62,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Comoros,NA,NA,2003,NA,NA,wani,Back reef,Coral,HC,37,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Tanzania,NA,NA,1999,NA,Mafia,Msumbiji,NA,Dead Standing coral,DC,10,NA,NA,1,DC,NA,NA,,Pre,GCRMN,Dead Standing coral
Tanzania,NA,NA,1999,NA,Mafia,Msumbiji,NA,Coral,HC,32,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Tanzania,NA,NA,1999,NA,Mafia,Msumbiji,NA,Soft coral,SC,6,NA,NA,1,SC,NA,NA,,Pre,GCRMN,Soft coral
Tanzania,NA,NA,1999,NA,Mafia,Msumbiji,NA,Spongy,SPG,5,NA,NA,1,SPG,NA,NA,,Pre,GCRMN,Spongy
Tanzania,NA,NA,2007,NA,Zanzibar,Kwale,NA,Algae-coralline,ACOR,0,NA,NA,1,ACOR,NA,NA,,Pre,GCRMN,Algae-coralline
Tanzania,NA,NA,2007,NA,Zanzibar,Kwale,NA,Algae-macro/fleshy,AMAC,46,NA,NA,1,AMAC,NA,NA,,Pre,GCRMN,Algae-macro/fleshy
Tanzania,NA,NA,2007,NA,Zanzibar,Kwale,NA,Bare substrate,BS,8,NA,NA,1,BS,NA,NA,,Pre,GCRMN,Bare substrate
Tanzania,NA,NA,2007,NA,Zanzibar,Kwale,NA,Dead Standing coral,DC,27,NA,NA,1,DC,NA,NA,,Pre,GCRMN,Dead Standing coral
Tanzania,NA,NA,2007,NA,Zanzibar,Kwale,NA,Coral,HC,15,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Tanzania,NA,NA,2007,NA,Zanzibar,Kwale,NA,Soft coral,SC,0,NA,NA,1,SC,NA,NA,,Pre,GCRMN,Soft coral
Tanzania,NA,NA,2007,NA,Zanzibar,Kwale,NA,Spongy,SPG,2,NA,NA,1,SPG,NA,NA,,Pre,GCRMN,Spongy
Tanzania,NA,NA,2006,NA,Zanzibar,Kwale,NA,Algae-coralline,ACOR,0,NA,NA,1,ACOR,NA,NA,,Pre,GCRMN,Algae-coralline
Tanzania,NA,NA,2006,NA,Zanzibar,Kwale,NA,Algae-macro/fleshy,AMAC,53,NA,NA,1,AMAC,NA,NA,,Pre,GCRMN,Algae-macro/fleshy
Tanzania,NA,NA,2006,NA,Zanzibar,Kwale,NA,Bare substrate,BS,25,NA,NA,1,BS,NA,NA,,Pre,GCRMN,Bare substrate
Tanzania,NA,NA,2006,NA,Zanzibar,Kwale,NA,Dead Standing coral,DC,5,NA,NA,1,DC,NA,NA,,Pre,GCRMN,Dead Standing coral
Tanzania,NA,NA,2006,NA,Zanzibar,Kwale,NA,Coral,HC,14,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Tanzania,NA,NA,2006,NA,Zanzibar,Kwale,NA,Soft coral,SC,0,NA,NA,1,SC,NA,NA,,Pre,GCRMN,Soft coral
Tanzania,NA,NA,2006,NA,Zanzibar,Kwale,NA,Spongy,SPG,0,NA,NA,1,SPG,NA,NA,,Pre,GCRMN,Spongy
Tanzania,NA,NA,2005,NA,Zanzibar,Kwale,NA,Algae-coralline,ACOR,0,NA,NA,1,ACOR,NA,NA,,Pre,GCRMN,Algae-coralline
Tanzania,NA,NA,2005,NA,Zanzibar,Kwale,NA,Algae-macro/fleshy,AMAC,51,NA,NA,1,AMAC,NA,NA,,Pre,GCRMN,Algae-macro/fleshy
Tanzania,NA,NA,2005,NA,Zanzibar,Kwale,NA,Bare substrate,BS,9,NA,NA,1,BS,NA,NA,,Pre,GCRMN,Bare substrate
Tanzania,NA,NA,2005,NA,Zanzibar,Kwale,NA,Dead Standing coral,DC,21,NA,NA,1,DC,NA,NA,,Pre,GCRMN,Dead Standing coral
Tanzania,NA,NA,2005,NA,Zanzibar,Kwale,NA,Coral,HC,16,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Tanzania,NA,NA,2005,NA,Zanzibar,Kwale,NA,Soft coral,SC,1,NA,NA,1,SC,NA,NA,,Pre,GCRMN,Soft coral
Tanzania,NA,NA,2005,NA,Zanzibar,Kwale,NA,Spongy,SPG,0,NA,NA,1,SPG,NA,NA,,Pre,GCRMN,Spongy
Tanzania,NA,NA,2004,NA,Zanzibar,Kwale,NA,Algae-coralline,ACOR,1,NA,NA,1,ACOR,NA,NA,,Pre,GCRMN,Algae-coralline
Tanzania,NA,NA,2004,NA,Zanzibar,Kwale,NA,Algae-macro/fleshy,AMAC,48,NA,NA,1,AMAC,NA,NA,,Pre,GCRMN,Algae-macro/fleshy
Tanzania,NA,NA,2004,NA,Zanzibar,Kwale,NA,Bare substrate,BS,8,NA,NA,1,BS,NA,NA,,Pre,GCRMN,Bare substrate
Tanzania,NA,NA,2004,NA,Zanzibar,Kwale,NA,Dead Standing coral,DC,25,NA,NA,1,DC,NA,NA,,Pre,GCRMN,Dead Standing coral
Tanzania,NA,NA,2004,NA,Zanzibar,Kwale,NA,Coral,HC,15,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Tanzania,NA,NA,2004,NA,Zanzibar,Kwale,NA,Soft coral,SC,0,NA,NA,1,SC,NA,NA,,Pre,GCRMN,Soft coral
Tanzania,NA,NA,2004,NA,Zanzibar,Kwale,NA,Spongy,SPG,0,NA,NA,1,SPG,NA,NA,,Pre,GCRMN,Spongy
Tanzania,NA,NA,2003,NA,Zanzibar,Kwale,NA,Algae-coralline,ACOR,1,NA,NA,1,ACOR,NA,NA,,Pre,GCRMN,Algae-coralline
Tanzania,NA,NA,2003,NA,Zanzibar,Kwale,NA,Algae-macro/fleshy,AMAC,45,NA,NA,1,AMAC,NA,NA,,Pre,GCRMN,Algae-macro/fleshy
Tanzania,NA,NA,2003,NA,Zanzibar,Kwale,NA,Bare substrate,BS,5,NA,NA,1,BS,NA,NA,,Pre,GCRMN,Bare substrate
Tanzania,NA,NA,2003,NA,Zanzibar,Kwale,NA,Dead Standing coral,DC,31,NA,NA,1,DC,NA,NA,,Pre,GCRMN,Dead Standing coral
Tanzania,NA,NA,2003,NA,Zanzibar,Kwale,NA,Coral,HC,14,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Tanzania,NA,NA,2003,NA,Zanzibar,Kwale,NA,Soft coral,SC,1,NA,NA,1,SC,NA,NA,,Pre,GCRMN,Soft coral
Tanzania,NA,NA,2003,NA,Zanzibar,Kwale,NA,Spongy,SPG,0,NA,NA,1,SPG,NA,NA,,Pre,GCRMN,Spongy
Tanzania,NA,NA,2002,NA,Zanzibar,Kwale,NA,Algae-coralline,ACOR,2,NA,NA,1,ACOR,NA,NA,,Pre,GCRMN,Algae-coralline
Tanzania,NA,NA,2002,NA,Zanzibar,Kwale,NA,Algae-macro/fleshy,AMAC,51,NA,NA,1,AMAC,NA,NA,,Pre,GCRMN,Algae-macro/fleshy
Tanzania,NA,NA,2002,NA,Zanzibar,Kwale,NA,Bare substrate,BS,25,NA,NA,1,BS,NA,NA,,Pre,GCRMN,Bare substrate
Tanzania,NA,NA,2002,NA,Zanzibar,Kwale,NA,Dead Standing coral,DC,4,NA,NA,1,DC,NA,NA,,Pre,GCRMN,Dead Standing coral
Tanzania,NA,NA,2002,NA,Zanzibar,Kwale,NA,Coral,HC,15,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Tanzania,NA,NA,2002,NA,Zanzibar,Kwale,NA,Soft coral,SC,1,NA,NA,1,SC,NA,NA,,Pre,GCRMN,Soft coral
Tanzania,NA,NA,2002,NA,Zanzibar,Kwale,NA,Spongy,SPG,0,NA,NA,1,SPG,NA,NA,,Pre,GCRMN,Spongy
Tanzania,NA,NA,2001,NA,Zanzibar,Kwale,NA,Algae-coralline,ACOR,0,NA,NA,1,ACOR,NA,NA,,Pre,GCRMN,Algae-coralline
Tanzania,NA,NA,2001,NA,Zanzibar,Kwale,NA,Algae-macro/fleshy,AMAC,41,NA,NA,1,AMAC,NA,NA,,Pre,GCRMN,Algae-macro/fleshy
Tanzania,NA,NA,2001,NA,Zanzibar,Kwale,NA,Bare substrate,BS,17,NA,NA,1,BS,NA,NA,,Pre,GCRMN,Bare substrate
Tanzania,NA,NA,2001,NA,Zanzibar,Kwale,NA,Dead Standing coral,DC,24,NA,NA,1,DC,NA,NA,,Pre,GCRMN,Dead Standing coral
Tanzania,NA,NA,2001,NA,Zanzibar,Kwale,NA,Coral,HC,15,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Tanzania,NA,NA,2001,NA,Zanzibar,Kwale,NA,Soft coral,SC,1,NA,NA,1,SC,NA,NA,,Pre,GCRMN,Soft coral
Tanzania,NA,NA,2001,NA,Zanzibar,Kwale,NA,Spongy,SPG,0,NA,NA,1,SPG,NA,NA,,Pre,GCRMN,Spongy
Tanzania,NA,NA,2000,NA,Zanzibar,Kwale,NA,Algae-coralline,ACOR,0,NA,NA,1,ACOR,NA,NA,,Pre,GCRMN,Algae-coralline
Tanzania,NA,NA,2000,NA,Zanzibar,Kwale,NA,Algae-macro/fleshy,AMAC,33,NA,NA,1,AMAC,NA,NA,,Pre,GCRMN,Algae-macro/fleshy
Tanzania,NA,NA,2000,NA,Zanzibar,Kwale,NA,Bare substrate,BS,20,NA,NA,1,BS,NA,NA,,Pre,GCRMN,Bare substrate
Tanzania,NA,NA,2000,NA,Zanzibar,Kwale,NA,Dead Standing coral,DC,30,NA,NA,1,DC,NA,NA,,Pre,GCRMN,Dead Standing coral
Tanzania,NA,NA,2000,NA,Zanzibar,Kwale,NA,Coral,HC,14,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Tanzania,NA,NA,2000,NA,Zanzibar,Kwale,NA,Soft coral,SC,1,NA,NA,1,SC,NA,NA,,Pre,GCRMN,Soft coral
Tanzania,NA,NA,2000,NA,Zanzibar,Kwale,NA,Spongy,SPG,0,NA,NA,1,SPG,NA,NA,,Pre,GCRMN,Spongy
Tanzania,NA,NA,1999,NA,Zanzibar,Kwale,NA,Algae-coralline,ACOR,4,NA,NA,1,ACOR,NA,NA,,Pre,GCRMN,Algae-coralline
Tanzania,NA,NA,1999,NA,Zanzibar,Kwale,NA,Algae-macro/fleshy,AMAC,37,NA,NA,1,AMAC,NA,NA,,Pre,GCRMN,Algae-macro/fleshy
Tanzania,NA,NA,1999,NA,Zanzibar,Kwale,NA,Bare substrate,BS,22,NA,NA,1,BS,NA,NA,,Pre,GCRMN,Bare substrate
Tanzania,NA,NA,1999,NA,Zanzibar,Kwale,NA,Dead Standing coral,DC,11,NA,NA,1,DC,NA,NA,,Pre,GCRMN,Dead Standing coral
Tanzania,NA,NA,1999,NA,Zanzibar,Kwale,NA,Coral,HC,22,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Tanzania,NA,NA,1999,NA,Zanzibar,Kwale,NA,Soft coral,SC,0,NA,NA,1,SC,NA,NA,,Pre,GCRMN,Soft coral
Tanzania,NA,NA,1999,NA,Zanzibar,Kwale,NA,Spongy,SPG,1,NA,NA,1,SPG,NA,NA,,Pre,GCRMN,Spongy
Tanzania,NA,NA,1998,NA,Zanzibar,Kwale,NA,Algae-coralline,ACOR,5,NA,NA,1,ACOR,NA,NA,,Pre,GCRMN,Algae-coralline
Tanzania,NA,NA,1998,NA,Zanzibar,Kwale,NA,Algae-macro/fleshy,AMAC,41,NA,NA,1,AMAC,NA,NA,,Pre,GCRMN,Algae-macro/fleshy
Tanzania,NA,NA,1998,NA,Zanzibar,Kwale,NA,Bare substrate,BS,21,NA,NA,1,BS,NA,NA,,Pre,GCRMN,Bare substrate
Tanzania,NA,NA,1998,NA,Zanzibar,Kwale,NA,Dead Standing coral,DC,11,NA,NA,1,DC,NA,NA,,Pre,GCRMN,Dead Standing coral
Tanzania,NA,NA,1998,NA,Zanzibar,Kwale,NA,Coral,HC,20,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Tanzania,NA,NA,1998,NA,Zanzibar,Kwale,NA,Soft coral,SC,0,NA,NA,1,SC,NA,NA,,Pre,GCRMN,Soft coral
Tanzania,NA,NA,1998,NA,Zanzibar,Kwale,NA,Spongy,SPG,0,NA,NA,1,SPG,NA,NA,,Pre,GCRMN,Spongy
Tanzania,NA,NA,1997,NA,Zanzibar,Kwale,NA,Algae-coralline,ACOR,0,NA,NA,1,ACOR,NA,NA,,Pre,GCRMN,Algae-coralline
Tanzania,NA,NA,1997,NA,Zanzibar,Kwale,NA,Algae-macro/fleshy,AMAC,16,NA,NA,1,AMAC,NA,NA,,Pre,GCRMN,Algae-macro/fleshy
Tanzania,NA,NA,1997,NA,Zanzibar,Kwale,NA,Bare substrate,BS,46,NA,NA,1,BS,NA,NA,,Pre,GCRMN,Bare substrate
Tanzania,NA,NA,1997,NA,Zanzibar,Kwale,NA,Dead Standing coral,DC,5,NA,NA,1,DC,NA,NA,,Pre,GCRMN,Dead Standing coral
Tanzania,NA,NA,1997,NA,Zanzibar,Kwale,NA,Coral,HC,29,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Tanzania,NA,NA,1997,NA,Zanzibar,Kwale,NA,Soft coral,SC,1,NA,NA,1,SC,NA,NA,,Pre,GCRMN,Soft coral
Tanzania,NA,NA,1997,NA,Zanzibar,Kwale,NA,Spongy,SPG,0,NA,NA,1,SPG,NA,NA,,Pre,GCRMN,Spongy
Tanzania,NA,NA,1996,NA,Zanzibar,Kwale,NA,Algae-coralline,ACOR,0,NA,NA,1,ACOR,NA,NA,,Pre,GCRMN,Algae-coralline
Tanzania,NA,NA,1996,NA,Zanzibar,Kwale,NA,Algae-macro/fleshy,AMAC,34,NA,NA,1,AMAC,NA,NA,,Pre,GCRMN,Algae-macro/fleshy
Tanzania,NA,NA,1996,NA,Zanzibar,Kwale,NA,Bare substrate,BS,7,NA,NA,1,BS,NA,NA,,Pre,GCRMN,Bare substrate
Tanzania,NA,NA,1996,NA,Zanzibar,Kwale,NA,Dead Standing coral,DC,25,NA,NA,1,DC,NA,NA,,Pre,GCRMN,Dead Standing coral
Tanzania,NA,NA,1996,NA,Zanzibar,Kwale,NA,Coral,HC,29,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Tanzania,NA,NA,1996,NA,Zanzibar,Kwale,NA,Soft coral,SC,2,NA,NA,1,SC,NA,NA,,Pre,GCRMN,Soft coral
Tanzania,NA,NA,1996,NA,Zanzibar,Kwale,NA,Spongy,SPG,0,NA,NA,1,SPG,NA,NA,,Pre,GCRMN,Spongy
Tanzania,NA,NA,1995,NA,Zanzibar,Kwale,NA,Algae-coralline,ACOR,0,NA,NA,1,ACOR,NA,NA,,Pre,GCRMN,Algae-coralline
Tanzania,NA,NA,1995,NA,Zanzibar,Kwale,NA,Algae-macro/fleshy,AMAC,33,NA,NA,1,AMAC,NA,NA,,Pre,GCRMN,Algae-macro/fleshy
Tanzania,NA,NA,1995,NA,Zanzibar,Kwale,NA,Bare substrate,BS,13,NA,NA,1,BS,NA,NA,,Pre,GCRMN,Bare substrate
Tanzania,NA,NA,1995,NA,Zanzibar,Kwale,NA,Dead Standing coral,DC,25,NA,NA,1,DC,NA,NA,,Pre,GCRMN,Dead Standing coral
Tanzania,NA,NA,1995,NA,Zanzibar,Kwale,NA,Coral,HC,26,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Tanzania,NA,NA,1995,NA,Zanzibar,Kwale,NA,Soft coral,SC,0,NA,NA,1,SC,NA,NA,,Pre,GCRMN,Soft coral
Tanzania,NA,NA,1995,NA,Zanzibar,Kwale,NA,Spongy,SPG,0,NA,NA,1,SPG,NA,NA,,Pre,GCRMN,Spongy
Tanzania,NA,NA,1994,NA,Zanzibar,Kwale,NA,Algae-coralline,ACOR,0,NA,NA,1,ACOR,NA,NA,,Pre,GCRMN,Algae-coralline
Tanzania,NA,NA,1994,NA,Zanzibar,Kwale,NA,Algae-macro/fleshy,AMAC,33,NA,NA,1,AMAC,NA,NA,,Pre,GCRMN,Algae-macro/fleshy
Tanzania,NA,NA,1994,NA,Zanzibar,Kwale,NA,Bare substrate,BS,23,NA,NA,1,BS,NA,NA,,Pre,GCRMN,Bare substrate
Tanzania,NA,NA,1994,NA,Zanzibar,Kwale,NA,Dead Standing coral,DC,17,NA,NA,1,DC,NA,NA,,Pre,GCRMN,Dead Standing coral
Tanzania,NA,NA,1994,NA,Zanzibar,Kwale,NA,Coral,HC,24,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Tanzania,NA,NA,1994,NA,Zanzibar,Kwale,NA,Soft coral,SC,0,NA,NA,1,SC,NA,NA,,Pre,GCRMN,Soft coral
Tanzania,NA,NA,1994,NA,Zanzibar,Kwale,NA,Spongy,SPG,0,NA,NA,1,SPG,NA,NA,,Pre,GCRMN,Spongy
Tanzania,NA,NA,2015,NA,Mafia,Kitutia,NA,Algae-coralline,ACOR,20,NA,NA,1,ACOR,NA,NA,,Pre,GCRMN,Algae-coralline
Tanzania,NA,NA,2015,NA,Mafia,Kitutia,NA,Algae-macro/fleshy,AMAC,7,NA,NA,1,AMAC,NA,NA,,Pre,GCRMN,Algae-macro/fleshy
Tanzania,NA,NA,2015,NA,Mafia,Kitutia,NA,Coral,HC,45,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Tanzania,NA,NA,2011,NA,Mafia,Kitutia,NA,Coral,HC,52,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Tanzania,NA,NA,2009,NA,Mafia,Kitutia,NA,Coral,HC,30,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Tanzania,NA,NA,2005,NA,Mafia,Kitutia,NA,Algae-coralline,ACOR,6,NA,NA,1,ACOR,NA,NA,,Pre,GCRMN,Algae-coralline
Tanzania,NA,NA,2005,NA,Mafia,Kitutia,NA,Algae-macro/fleshy,AMAC,21,NA,NA,1,AMAC,NA,NA,,Pre,GCRMN,Algae-macro/fleshy
Tanzania,NA,NA,2005,NA,Mafia,Kitutia,NA,Bare substrate,BS,0,NA,NA,1,BS,NA,NA,,Pre,GCRMN,Bare substrate
Tanzania,NA,NA,2005,NA,Mafia,Kitutia,NA,Coral,HC,23,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Tanzania,NA,NA,2005,NA,Mafia,Kitutia,NA,Soft coral,SC,0,NA,NA,1,SC,NA,NA,,Pre,GCRMN,Soft coral
Tanzania,NA,NA,2005,NA,Mafia,Kitutia,NA,Spongy,SPG,0,NA,NA,1,SPG,NA,NA,,Pre,GCRMN,Spongy
Tanzania,NA,NA,2003,NA,Mafia,Kitutia,NA,Algae-coralline,ACOR,13,NA,NA,1,ACOR,NA,NA,,Pre,GCRMN,Algae-coralline
Tanzania,NA,NA,2003,NA,Mafia,Kitutia,NA,Algae-macro/fleshy,AMAC,44,NA,NA,1,AMAC,NA,NA,,Pre,GCRMN,Algae-macro/fleshy
Tanzania,NA,NA,2003,NA,Mafia,Kitutia,NA,Bare substrate,BS,14,NA,NA,1,BS,NA,NA,,Pre,GCRMN,Bare substrate
Tanzania,NA,NA,2003,NA,Mafia,Kitutia,NA,Dead Standing coral,DC,0,NA,NA,1,DC,NA,NA,,Pre,GCRMN,Dead Standing coral
Tanzania,NA,NA,2003,NA,Mafia,Kitutia,NA,Coral,HC,17,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Tanzania,NA,NA,2003,NA,Mafia,Kitutia,NA,Soft coral,SC,10,NA,NA,1,SC,NA,NA,,Pre,GCRMN,Soft coral
Tanzania,NA,NA,2003,NA,Mafia,Kitutia,NA,Spongy,SPG,0,NA,NA,1,SPG,NA,NA,,Pre,GCRMN,Spongy
Tanzania,NA,NA,2001,NA,Mafia,Kitutia,NA,Algae-coralline,ACOR,18,NA,NA,1,ACOR,NA,NA,,Pre,GCRMN,Algae-coralline
Tanzania,NA,NA,2001,NA,Mafia,Kitutia,NA,Algae-macro/fleshy,AMAC,24,NA,NA,1,AMAC,NA,NA,,Pre,GCRMN,Algae-macro/fleshy
Tanzania,NA,NA,2001,NA,Mafia,Kitutia,NA,Bare substrate,BS,29,NA,NA,1,BS,NA,NA,,Pre,GCRMN,Bare substrate
